ApplicationID,InterviewerName,InterviewDate,Score,Feedback
A01380,Robert Roberts,2024-06-29,81,Excellent communication
A01381,Joseph Tyler,2023-12-11,57,Excellent communication
A01382,Carla Davis,2024-07-05,93,Needs improvement
A01383,Katherine Farley,2024-08-26,99,Good technical skills
A01384,Jason Frazier,2024-06-18,98,Excellent communication
A01385,Jay Copeland,2024-02-24,74,Needs improvement
A01386,Tristan Baldwin,2024-06-16,97,Needs improvement
A01387,Thomas Meyer,2024-11-26,100,Average performance
A01388,Wendy Mckee,2024-05-06,100,Excellent communication
A01389,Amy Brown,2024-03-09,75,Excellent communication
A01390,Emma Thompson DVM,2024-02-20,51,Average performance
A01391,Thomas Santos,2024-03-26,65,Excellent communication
A01392,Anthony Jones,2024-08-20,68,Needs improvement
A01393,Marcus Odom,2024-02-12,50,Good technical skills
A01394,Brad Torres,2024-01-08,55,Excellent communication
A01395,Sara Powell,2024-04-15,81,Average performance
A01396,Rachel Mcconnell,2024-07-09,84,Excellent communication
A01397,Tommy Oconnor,2024-03-02,99,Needs improvement
A01398,Jonathan Hansen,2024-10-21,71,Needs improvement
A01399,Jennifer Jones,2024-02-05,74,Average performance
A01400,Anita Duncan,2024-06-29,57,Needs improvement
A01401,Jose Williams,2024-04-20,63,Good technical skills
A01402,Jessica Simmons,2024-11-16,70,Good technical skills
A01403,Christopher Brock,2024-08-14,80,Excellent communication
A01404,Eduardo Mcdaniel,2024-07-04,61,Needs improvement
A01405,Vincent Wilkinson,2024-02-02,55,Excellent communication
A01406,Craig King,2024-04-19,98,Excellent communication
A01407,Ashley Keith,2024-03-06,88,Needs improvement
A01408,Dr. Michael Campbell,2024-06-10,81,Good technical skills
A01409,Sheila Garcia,2024-02-20,86,Average performance
A01410,Brady Thompson,2024-07-21,70,Good technical skills
A01411,Amanda Parks,2024-12-04,59,Excellent communication
A01412,Alejandro Harris,2024-08-05,59,Needs improvement
A01413,Eileen Johnston,2024-10-02,60,Good technical skills
A01414,Sarah Johnson,2024-01-10,64,Needs improvement
A01415,Jordan Harris,2024-05-13,93,Good technical skills
A01416,Michael Berry,2024-11-21,74,Excellent communication
A01417,Bobby Reyes,2024-01-31,82,Needs improvement
A01418,Theresa Wiley,2023-12-25,72,Excellent communication
A01419,Cheryl Berg,2024-07-25,85,Needs improvement
A01420,Connor Gonzalez,2024-06-09,87,Needs improvement
A01421,Hannah Bates,2024-02-07,89,Needs improvement
A01422,Kenneth Wilson,2024-06-10,58,Average performance
A01423,Joshua Cox,2024-08-14,100,Average performance
A01424,Laura Baker,2024-01-19,59,Average performance
A01425,Joe Beasley,2024-11-04,59,Needs improvement
A01426,Christian Carlson,2024-01-17,54,Good technical skills
A01427,Stephanie Price,2024-08-23,81,Needs improvement
A01428,Kristen Ross,2024-02-26,80,Average performance
A01429,Brittany Braun,2024-09-24,90,Excellent communication
A01430,Michelle Garrison,2024-10-08,70,Good technical skills
A01431,Donna Roberts,2024-03-26,83,Needs improvement
A01432,Chad Miller,2024-08-17,92,Needs improvement
A01433,Anita Manning,2024-04-09,90,Good technical skills
A01434,Dave Gardner,2024-09-28,85,Excellent communication
A01435,Connie Winters,2024-03-31,71,Needs improvement
A01436,Hailey Flores,2024-07-12,80,Average performance
A01437,William Donovan,2024-10-01,72,Needs improvement
A01438,Jenna Jackson,2024-10-28,56,Average performance
A01439,Lindsey Arellano,2024-02-01,76,Average performance
A01440,Amanda Wells,2024-09-26,94,Needs improvement
A01441,Candice Sparks,2024-09-23,84,Needs improvement
A01442,Michael George,2024-05-16,58,Average performance
A01443,Mr. Michael Shaffer MD,2024-01-10,65,Average performance
A01444,Kelly Crawford,2024-08-16,82,Excellent communication
A01445,Gregory Velasquez,2024-10-19,60,Excellent communication
A01446,Nicholas Stevens,2024-10-15,56,Average performance
A01447,Kelly Thomas,2023-12-27,52,Excellent communication
A01448,Angela Williams,2024-09-23,83,Excellent communication
A01449,David Washington,2024-04-07,66,Excellent communication
A01450,Tammy Torres,2024-07-21,60,Excellent communication
A01451,Amanda Anthony,2024-04-09,76,Average performance
A01452,Tara Dunn,2024-07-29,75,Excellent communication
A01453,Ashley Booker,2024-04-16,90,Average performance
A01454,Jonathan Rowe,2024-06-27,75,Average performance
A01455,Joshua Reid,2024-04-18,51,Needs improvement
A01456,David Bennett,2024-10-06,58,Good technical skills
A01457,Samantha Russo,2024-12-01,88,Average performance
A01458,Ashley Mills,2024-02-07,64,Excellent communication
A01459,Michelle Aguirre,2024-10-21,61,Excellent communication
A01460,Justin Anthony,2024-03-10,55,Good technical skills
A01461,Patricia Garza,2024-10-12,50,Average performance
A01462,Jason Wright,2024-09-29,73,Needs improvement
A01463,Morgan Moore,2023-12-28,64,Excellent communication
A01464,Susan Thomas,2024-05-20,58,Average performance
A01465,Tanner Long,2024-02-22,80,Excellent communication
A01466,Mark Morales,2024-10-24,52,Needs improvement
A01467,Chelsea Burns,2024-04-21,64,Excellent communication
A01468,Stephanie Robinson,2024-10-19,55,Needs improvement
A01469,Phillip Moore,2024-11-24,77,Excellent communication
A01470,Sydney Stanton,2024-03-26,74,Average performance
A01471,Vincent Bowman,2024-07-23,71,Average performance
A01472,Mary Peters,2024-01-04,59,Needs improvement
A01473,Kathleen Leach,2024-06-28,60,Excellent communication
A01474,David Brown,2023-12-24,92,Needs improvement
A01475,Krista Young,2024-10-15,69,Excellent communication
A01476,Sara Robles,2024-07-28,59,Good technical skills
A01477,Shannon Nelson,2024-01-01,94,Good technical skills
A01478,Kurt Smith,2024-05-29,98,Needs improvement
A01479,Melissa Vaughn,2024-10-30,92,Good technical skills
A01480,Donna Frazier,2024-06-05,67,Excellent communication
A01481,John Morales,2024-01-20,92,Excellent communication
A01482,Megan Stevenson,2024-01-08,82,Excellent communication
A01483,Samantha White,2024-03-25,89,Excellent communication
A01484,Justin Davis,2024-03-30,87,Good technical skills
A01485,Juan Herring,2024-12-02,80,Good technical skills
A01486,Robert Evans,2024-05-23,55,Needs improvement
A01487,Jessica Christensen,2024-12-03,55,Good technical skills
A01488,Mr. Michael Munoz,2024-07-18,87,Average performance
A01489,Carlos Bright,2024-10-18,84,Average performance
A01490,James Hale,2023-12-24,64,Average performance
A01491,Paula Gibson,2024-11-24,92,Needs improvement
A01492,Laura Melton,2024-05-10,61,Average performance
A01493,Rebecca Stanton,2024-03-19,52,Needs improvement
A01494,Victoria Strong,2024-09-16,57,Needs improvement
A01495,James Thompson,2024-07-06,52,Excellent communication
A01496,Amanda Robinson,2024-07-08,88,Needs improvement
A01497,Michael Torres,2024-04-20,51,Needs improvement
A01498,Bradley Watkins,2024-04-13,98,Good technical skills
A01499,Mrs. Donna Gonzalez MD,2024-05-29,84,Needs improvement
A01500,Paul Keith,2023-12-30,53,Excellent communication
A01501,Jennifer Gates,2024-07-13,98,Average performance
A01502,April Warner,2024-06-27,100,Needs improvement
A01503,Austin Vega,2023-12-24,92,Needs improvement
A01504,Mark Bailey,2024-01-15,63,Good technical skills
A01505,Billy Brown,2024-03-28,71,Good technical skills
A01506,Chad Graham,2024-05-20,79,Excellent communication
A01507,Jordan Boyer,2024-11-25,82,Needs improvement
A01508,Angela King,2023-12-11,89,Average performance
A01509,Anna Garza,2024-08-15,72,Good technical skills
A01510,Jacob Moore,2024-06-28,80,Good technical skills
A01511,Joel Green,2024-03-30,52,Needs improvement
A01512,Timothy Black,2024-04-22,93,Average performance
A01513,Robert Cummings,2024-02-05,88,Good technical skills
A01514,Sonya Lewis,2024-11-07,86,Good technical skills
A01515,John Welch,2024-10-15,75,Average performance
A01516,Kelly Wang,2024-10-15,73,Excellent communication
A01517,John Parsons,2023-12-21,90,Good technical skills
A01518,Marisa Smith,2024-04-26,80,Good technical skills
A01519,Angela Ballard,2024-11-11,86,Average performance
A01520,Pamela Scott,2024-01-06,99,Excellent communication
A01521,Ashley Herrera,2024-07-07,80,Average performance
A01522,Tonya Rocha,2024-11-19,64,Good technical skills
A01523,Carrie Blanchard,2024-08-04,60,Needs improvement
A01524,David Chavez,2024-08-22,65,Excellent communication
A01525,Rhonda Gray,2024-09-16,74,Excellent communication
A01526,Alejandro Martin,2024-03-01,97,Excellent communication
A01527,Aaron Williamson,2024-12-04,67,Average performance
A01528,Brandy Hamilton,2024-02-05,75,Average performance
A01529,Scott Erickson,2024-09-29,85,Excellent communication
A01530,Ashley Mahoney,2024-11-09,62,Needs improvement
A01531,Douglas Anderson,2024-01-07,57,Excellent communication
A01532,John Robinson,2024-01-18,66,Good technical skills
A01533,Scott Campbell,2024-08-10,68,Average performance
A01534,Kelly Golden,2024-04-09,98,Good technical skills
A01535,Richard Moore,2024-06-01,84,Needs improvement
A01536,Laura Peterson,2024-02-14,80,Needs improvement
A01537,Connie Castillo,2024-07-03,99,Excellent communication
A01538,Holly Klein,2023-12-21,63,Good technical skills
A01539,Donald Davis,2023-12-20,50,Good technical skills
A01540,Jeffrey Williams,2024-03-30,92,Excellent communication
A01541,Mark Nguyen,2024-04-22,51,Excellent communication
A01542,John White,2024-08-06,84,Excellent communication
A01543,Katherine Faulkner,2024-05-06,66,Excellent communication
A01544,Andrea Cardenas,2024-03-12,93,Needs improvement
A01545,Brandon Kennedy,2024-04-02,51,Average performance
A01546,Christine Camacho,2024-11-11,67,Needs improvement
A01547,Corey Smith,2024-11-16,72,Average performance
A01548,Kendra Castro,2024-02-18,97,Excellent communication
A01549,John Martinez,2024-10-25,93,Needs improvement
A01550,Andrew Arias,2024-01-03,60,Needs improvement
A01551,Thomas Leon,2024-11-15,95,Needs improvement
A01552,Steven Campbell,2024-04-28,84,Excellent communication
A01553,Jason Romero,2024-04-08,62,Average performance
A01554,Joshua Boone,2024-02-20,90,Needs improvement
A01555,Matthew Watkins,2024-06-06,64,Needs improvement
A01556,Benjamin Miles,2024-06-27,54,Needs improvement
A01557,Jeffrey Jones,2023-12-11,59,Good technical skills
A01558,Rebecca Ryan,2024-02-16,54,Average performance
A01559,Kimberly Fisher,2024-05-25,83,Average performance
A01560,Cynthia Wang,2024-02-03,51,Needs improvement
A01561,Erin Hahn,2024-05-24,64,Good technical skills
A01562,Jessica Oconnor,2024-02-21,59,Needs improvement
A01563,Rebecca Perez,2024-10-26,96,Excellent communication
A01564,Catherine Diaz,2023-12-14,81,Average performance
A01565,Alan Melton,2024-04-20,94,Excellent communication
A01566,Andrew James,2024-04-02,96,Excellent communication
A01567,Jonathan Robinson,2024-05-19,86,Excellent communication
A01568,Ann Romero,2024-07-28,91,Average performance
A01569,Matthew Cole,2024-07-15,95,Good technical skills
A01570,Miguel Griffith,2024-05-17,60,Needs improvement
A01571,Mary Middleton,2024-02-15,88,Average performance
A01572,Raymond Green MD,2024-05-07,73,Excellent communication
A01573,Michelle Johnson,2024-01-04,92,Average performance
A01574,Ryan Marsh,2024-09-17,83,Needs improvement
A01575,Janice Frank,2024-11-10,95,Needs improvement
A01576,David Love,2024-07-09,66,Good technical skills
A01577,James Dillon,2024-03-11,90,Average performance
A01578,Wesley Sanders,2024-08-03,100,Needs improvement
A01579,Dawn Anderson,2024-05-01,68,Good technical skills
A01580,Nicole Moore,2024-06-12,91,Excellent communication
A01581,Michelle Wright,2024-12-01,69,Excellent communication
A01582,Joseph Dunn,2024-01-17,69,Good technical skills
A01583,Robert Oconnor,2024-12-04,64,Needs improvement
A01584,Laura Jones,2023-12-16,70,Needs improvement
A01585,Samantha Foster,2024-06-27,91,Excellent communication
A01586,Stephen Martin,2024-10-09,100,Excellent communication
A01587,Charles Martin,2024-03-03,63,Average performance
A01588,Donna Shea,2024-03-14,95,Good technical skills
A01589,Audrey Johnson,2024-08-18,71,Good technical skills
A01590,Rhonda Hendrix,2024-06-04,76,Average performance
A01591,Joshua Evans,2024-09-26,52,Good technical skills
A01592,Jeffrey Henson,2024-08-04,50,Needs improvement
A01593,John Fernandez,2024-06-25,66,Excellent communication
A01594,Samuel Jones,2024-08-10,55,Average performance
A01595,Sherry Jackson,2024-03-01,65,Average performance
A01596,Brandon Winters,2024-11-17,89,Average performance
A01597,Henry Downs,2024-06-28,60,Good technical skills
A01598,Dennis Anderson,2024-08-04,66,Average performance
A01599,Matthew Young,2024-01-01,94,Needs improvement
A01600,Travis Foster,2024-10-28,69,Excellent communication
A01601,Melissa Rogers,2024-03-23,68,Average performance
A01602,Christopher Williams,2024-03-31,84,Needs improvement
A01603,Annette Thomas,2024-04-13,88,Needs improvement
A01604,Albert Mcdonald,2024-08-05,50,Good technical skills
A01605,Joshua Moore,2024-04-23,78,Excellent communication
A01606,Erika Herman,2024-08-20,63,Excellent communication
A01607,Jamie Bernard,2024-09-29,54,Average performance
A01608,Anthony Henry,2024-01-16,53,Average performance
A01609,Amanda Dennis,2023-12-27,63,Excellent communication
A01610,Tina Walton,2024-10-28,77,Good technical skills
A01611,Kevin Campbell,2024-05-03,70,Average performance
A01612,John Johnson,2024-02-20,78,Good technical skills
A01613,Ana Wong,2024-04-03,60,Average performance
A01614,Gary Vaughn,2024-03-02,58,Average performance
A01615,Gloria Francis,2024-01-14,97,Excellent communication
A01616,Corey Sherman,2024-05-18,75,Average performance
A01617,Cathy Mckee,2024-09-15,62,Good technical skills
A01618,Julie Mccoy,2024-02-20,78,Average performance
A01619,Christina Pierce,2024-01-30,61,Good technical skills
A01620,Mary Day,2024-10-18,61,Excellent communication
A01621,Douglas Parsons,2024-07-16,75,Needs improvement
A01622,Denise Wright,2023-12-10,78,Needs improvement
A01623,Timothy Mclaughlin,2024-02-15,58,Excellent communication
A01624,Krystal Patel,2024-08-28,97,Excellent communication
A01625,Joyce Jackson,2024-05-02,51,Excellent communication
A01626,Andrea Cooper DVM,2024-11-23,58,Excellent communication
A01627,Jeremy Wilson,2024-07-18,72,Excellent communication
A01628,Cody Rivera,2024-08-24,85,Average performance
A01629,David Richmond,2024-03-26,79,Good technical skills
A01630,Morgan Foster,2024-03-21,84,Excellent communication
A01631,Thomas Freeman,2024-08-30,77,Average performance
A01632,Norma Williams,2024-09-19,93,Needs improvement
A01633,Mackenzie Ellis,2024-08-28,77,Good technical skills
A01634,Miss Robin Henry MD,2023-12-25,64,Good technical skills
A01635,Dr. Theresa Hall,2024-11-09,63,Needs improvement
A01636,Mrs. Brittany Adams,2024-11-17,76,Excellent communication
A01637,Nathan Suarez,2024-01-19,98,Average performance
A01638,Jeffrey Ramirez,2024-05-04,58,Good technical skills
A01639,David King,2024-02-13,66,Excellent communication
A01640,Brooke Gilbert,2024-03-27,58,Good technical skills
A01641,Linda West,2024-02-25,72,Needs improvement
A01642,Brandon Howard,2024-11-09,70,Excellent communication
A01643,Alicia Butler,2024-07-11,98,Good technical skills
A01644,Derek Gonzalez,2024-11-22,62,Good technical skills
A01645,Kimberly Beck,2024-10-07,79,Needs improvement
A01646,Andrew Green,2024-07-03,98,Needs improvement
A01647,Kimberly Smith,2024-09-14,84,Good technical skills
A01648,Thomas Mendez,2024-06-08,99,Needs improvement
A01649,Mrs. Jamie Hampton,2024-02-26,87,Average performance
A01650,Pamela Warner,2024-08-07,70,Excellent communication
A01651,Kimberly Murphy,2024-10-26,76,Average performance
A01652,Carl Marquez,2024-05-05,58,Excellent communication
A01653,Jack Price,2024-11-05,60,Good technical skills
A01654,Jeanne Smith,2024-01-11,74,Needs improvement
A01655,Jason Wagner,2024-07-04,84,Excellent communication
A01656,Daniel Sutton MD,2023-12-22,80,Needs improvement
A01657,Jose Davidson,2024-01-16,69,Average performance
A01658,Caitlyn Harris,2024-09-24,58,Excellent communication
A01659,Thomas Randall,2024-05-24,84,Excellent communication
A01660,Michelle Mason,2023-12-16,91,Average performance
A01661,David Sawyer,2024-11-10,92,Good technical skills
A01662,Nicole Castro,2024-01-06,79,Good technical skills
A01663,Eric Hale,2024-07-20,78,Needs improvement
A01664,Lauren Cook,2024-01-25,78,Excellent communication
A01665,Erin Archer,2024-07-16,88,Excellent communication
A01666,Keith Hebert,2024-08-08,51,Average performance
A01667,James Davis,2024-01-05,52,Good technical skills
A01668,Jeremy Rogers Jr.,2024-04-23,80,Good technical skills
A01669,Miranda Rodriguez,2024-05-01,56,Excellent communication
A01670,Lori Ibarra,2024-08-17,97,Needs improvement
A01671,Kevin Bryant,2024-01-27,56,Excellent communication
A01672,Jordan Smith,2024-03-25,55,Excellent communication
A01673,Melissa Torres,2024-09-26,64,Average performance
A01674,Donald Harris,2023-12-27,55,Good technical skills
A01675,Courtney Freeman,2024-02-24,99,Good technical skills
A01676,Brittany Oconnor,2023-12-30,88,Average performance
A01677,Christopher Barber,2024-06-23,92,Needs improvement
A01678,Martha Ellis,2023-12-22,98,Needs improvement
A01679,Kevin Gray,2024-08-22,70,Excellent communication
A01680,Kevin Smith,2024-03-30,81,Average performance
A01681,Megan Ortega,2024-01-23,56,Good technical skills
A01682,John Weaver,2024-11-08,84,Needs improvement
A01683,Tracy Christian,2024-10-04,76,Needs improvement
A01684,Nichole Huerta,2024-07-13,75,Average performance
A01685,Brittney Smith,2024-11-24,72,Good technical skills
A01686,Jason Becker,2024-11-10,58,Good technical skills
A01687,Francis Glover,2024-04-23,63,Needs improvement
A01688,Gabriel Pruitt,2024-09-21,75,Good technical skills
A01689,Dylan Decker,2024-06-10,63,Good technical skills
A01690,James Hammond,2024-06-14,96,Needs improvement
A01691,Rebecca Allen,2024-11-11,97,Excellent communication
A01692,Melinda Santiago,2024-09-22,51,Needs improvement
A01693,Cynthia Taylor,2024-05-17,67,Good technical skills
A01694,Lisa Rangel,2024-01-21,77,Good technical skills
A01695,Catherine Avery,2023-12-19,80,Good technical skills
A01696,Dustin Maldonado,2024-05-15,98,Needs improvement
A01697,Oscar Murphy,2024-08-21,54,Needs improvement
A01698,Amanda Santana,2024-11-06,85,Average performance
A01699,Sean Jenkins,2024-06-05,95,Needs improvement
A01700,Michele Mitchell,2024-03-14,99,Average performance
A01701,Elizabeth Livingston,2024-02-05,97,Good technical skills
A01702,Anthony Woods,2024-03-16,77,Average performance
A01703,Roger Armstrong,2024-05-30,89,Good technical skills
A01704,Michaela Thompson,2024-02-03,99,Average performance
A01705,Marissa Oconnell,2024-10-07,64,Average performance
A01706,Kenneth Ward,2024-06-15,83,Good technical skills
A01707,David Gonzalez,2024-02-10,95,Good technical skills
A01708,Julie Arias,2024-04-01,87,Needs improvement
A01709,Sara Roberson,2024-02-04,59,Average performance
A01710,Karen Johnson,2024-10-06,63,Needs improvement
A01711,Anne Vega,2024-01-09,50,Average performance
A01712,Julie Johnson,2024-07-09,55,Excellent communication
A01713,Katherine Parker,2024-11-09,52,Average performance
A01714,Nicholas Johnson,2024-03-05,94,Needs improvement
A01715,Danielle Lewis,2024-10-08,54,Needs improvement
A01716,Christine Carson,2024-09-12,63,Excellent communication
A01717,David Garcia,2024-11-01,58,Needs improvement
A01718,Beth Bryant,2024-08-11,96,Average performance
A01719,Margaret Olson,2024-02-08,88,Needs improvement
A01720,Robert Buckley,2024-03-26,85,Good technical skills
A01721,Brian Owens,2024-02-18,81,Excellent communication
A01722,Christy Cochran,2024-12-02,51,Needs improvement
A01723,Sarah Vaughn,2024-08-04,62,Good technical skills
A01724,Sarah Li,2024-03-31,67,Needs improvement
A01725,Kathy Ortiz,2024-09-27,90,Average performance
A01726,Diane Jarvis,2024-03-31,82,Good technical skills
A01727,Nicholas Haley,2024-05-28,72,Needs improvement
A01728,Bruce Figueroa,2024-03-06,74,Good technical skills
A01729,Angela Wright,2024-06-30,50,Needs improvement
A01730,Walter Rodriguez,2024-10-06,97,Needs improvement
A01731,Nicholas Montoya,2024-07-13,69,Average performance
A01732,Richard Ashley,2024-04-13,66,Good technical skills
A01733,Sharon Barr,2024-11-11,66,Good technical skills
A01734,John Underwood,2024-10-09,73,Average performance
A01735,Patrick Ford,2024-11-12,60,Excellent communication
A01736,Michael Cruz,2024-07-24,82,Average performance
A01737,Gary Santiago,2024-02-29,82,Needs improvement
A01738,Julie Collins,2024-04-22,59,Needs improvement
A01739,John Phillips,2024-10-28,55,Average performance
A01740,Henry Salas,2024-01-19,53,Needs improvement
A01741,Angel Delgado,2024-01-25,50,Average performance
A01742,Elizabeth Brown,2024-05-10,95,Average performance
A01743,Victoria Beard,2024-07-13,98,Average performance
A01744,James Kennedy,2024-05-13,96,Excellent communication
A01745,Jennifer Rice,2024-03-05,77,Good technical skills
A01746,Jeffrey Stephens,2024-03-17,56,Good technical skills
A01747,Crystal Robinson,2024-05-22,93,Needs improvement
A01748,Patricia Collins,2024-09-24,100,Needs improvement
A01749,Sharon Zamora,2024-10-04,55,Needs improvement
A01750,Tammy Bautista,2023-12-28,61,Needs improvement
A01751,Manuel Cook,2024-01-22,72,Good technical skills
A01752,Stephen Mathis,2024-09-12,51,Average performance
A01753,Steven Holder,2024-02-07,80,Good technical skills
A01754,Kyle Perez,2023-12-19,100,Good technical skills
A01755,Monica Woods,2024-01-07,98,Average performance
A01756,Matthew Hall,2023-12-22,73,Needs improvement
A01757,Hailey Mullins,2024-08-15,53,Average performance
A01758,Natalie Christensen,2024-01-10,86,Needs improvement
A01759,Kaitlyn Farley,2024-10-23,89,Excellent communication
A01760,Laurie Perkins,2024-05-28,57,Average performance
A01761,Susan Evans,2024-10-06,84,Good technical skills
A01762,Stephanie Jones,2024-06-16,56,Needs improvement
A01763,Donald Howard,2024-10-22,83,Excellent communication
A01764,John Rodriguez,2024-04-16,87,Good technical skills
A01765,Ashley Adams,2024-01-21,55,Average performance
A01766,Nathan Lopez,2024-05-15,62,Average performance
A01767,Ronald Jones,2023-12-20,58,Excellent communication
A01768,Sherri Randolph,2024-08-12,72,Excellent communication
A01769,Gloria Rodriguez,2024-03-28,68,Good technical skills
A01770,Cassandra Dean,2024-05-18,92,Needs improvement
A01771,Lance Smith,2024-04-24,95,Average performance
A01772,James Good,2024-11-11,67,Excellent communication
A01773,Mr. Robert Fisher PhD,2024-08-28,58,Average performance
A01774,Brandon Marshall,2024-03-03,68,Excellent communication
A01775,Harold Cardenas,2024-11-11,62,Average performance
A01776,Mrs. Latasha Burns,2024-05-05,90,Average performance
A01777,Marc Smith,2024-07-05,96,Average performance
A01778,Emily Cook,2024-10-29,61,Good technical skills
A01779,Kristen Becker,2024-09-09,89,Good technical skills
A01780,Melanie Davis,2024-02-10,91,Excellent communication
A01781,Alicia Murray,2023-12-18,78,Good technical skills
A01782,Dawn Smith,2024-02-20,51,Average performance
A01783,Caleb Rodriguez,2024-01-29,84,Excellent communication
A01784,Chloe Davis,2024-10-10,66,Average performance
A01785,Derek Holt,2024-02-28,95,Excellent communication
A01786,Mary Houston,2024-03-04,68,Excellent communication
A01787,Samantha Collins,2024-06-07,61,Average performance
A01788,Dylan Flores,2024-04-22,74,Good technical skills
A01789,Tyler Henderson,2024-03-24,55,Good technical skills
A01790,Lisa Martinez,2024-03-24,99,Average performance
A01791,Riley Stone,2024-07-19,84,Excellent communication
A01792,Melissa Norman,2024-03-04,91,Needs improvement
A01793,Daniel Newton,2024-01-17,98,Needs improvement
A01794,Kathryn Patrick,2024-10-19,58,Average performance
A01795,Devin Mayo,2024-04-02,59,Average performance
A01796,Jerome Jarvis,2024-07-17,82,Needs improvement
A01797,Sarah Black,2024-01-19,66,Needs improvement
A01798,Paige Norman,2024-10-26,74,Average performance
A01799,Melvin Wood,2024-03-29,70,Needs improvement
A01800,Philip Choi,2023-12-14,69,Needs improvement
A01801,Alexander Sullivan,2024-07-08,73,Average performance
A01802,David Boyer,2024-10-16,83,Excellent communication
A01803,Deanna Cummings,2024-11-20,61,Needs improvement
A01804,Victor Campbell,2024-05-09,61,Average performance
A01805,Christopher Ellison,2024-02-26,77,Good technical skills
A01806,Kevin Smith,2024-04-08,97,Average performance
A01807,Teresa Ortiz,2024-08-21,80,Good technical skills
A01808,Tony Trevino,2024-12-01,88,Needs improvement
A01809,Heather Adams,2024-04-15,75,Needs improvement
A01810,Timothy Hensley MD,2024-08-28,64,Excellent communication
A01811,Adam Rice,2024-11-29,85,Average performance
A01812,Nicole Sexton,2024-12-01,58,Excellent communication
A01813,Tonya Mcmillan,2024-04-17,80,Good technical skills
A01814,Daniel Miller,2024-05-28,53,Needs improvement
A01815,Jamie Edwards,2024-07-15,77,Average performance
A01816,Brittany Stevenson,2024-01-13,100,Good technical skills
A01817,Samantha Hancock,2024-06-12,53,Average performance
A01818,Christian Simon,2024-07-27,59,Needs improvement
A01819,Natalie Jones,2024-10-10,57,Good technical skills
A01820,Angela Dawson,2024-06-25,84,Average performance
A01821,Frank Shaffer,2024-10-12,70,Needs improvement
A01822,Jeffrey Wade,2024-01-18,95,Excellent communication
A01823,Daniel West,2024-05-15,91,Excellent communication
A01824,John Kramer,2024-02-23,64,Average performance
A01825,Pamela Pierce,2024-01-26,50,Excellent communication
A01826,Steven Ryan,2024-09-26,99,Good technical skills
A01827,Misty Gonzalez,2024-06-21,50,Needs improvement
A01828,Lori Fischer,2024-06-28,79,Average performance
A01829,Xavier Garner,2023-12-31,80,Excellent communication
A01830,Ashley Bernard,2024-03-02,96,Excellent communication
A01831,Kelly Jackson,2024-02-16,81,Good technical skills
A01832,Dennis Porter,2024-03-25,66,Average performance
A01833,Regina Washington MD,2024-03-26,86,Good technical skills
A01834,Amber Kline,2024-04-19,86,Good technical skills
A01835,Carrie Sullivan,2024-06-24,83,Average performance
A01836,Ann Sanchez,2023-12-23,54,Needs improvement
A01837,Mary Ruiz,2024-11-17,59,Needs improvement
A01838,William Sanford,2024-05-25,82,Good technical skills
A01839,Alicia Thomas,2024-01-26,81,Good technical skills
A01840,Mark Castillo,2024-10-16,98,Excellent communication
A01841,Marc Harris,2024-12-07,89,Excellent communication
A01842,Bradley Miller,2024-06-01,84,Excellent communication
A01843,Caitlyn Bartlett,2024-08-29,74,Average performance
A01844,Tyrone Mcpherson,2024-01-16,86,Excellent communication
A01845,Jacob Ellis,2024-02-06,94,Excellent communication
A01846,Tracy Lewis,2024-06-26,67,Excellent communication
A01847,James Hill,2024-11-19,95,Good technical skills
A01848,Anthony Aguilar,2024-06-01,74,Good technical skills
A01849,Jeffrey Williams,2024-01-03,94,Average performance
A01850,Becky Anderson,2023-12-21,76,Needs improvement
A01851,Dalton Matthews,2024-03-01,96,Needs improvement
A01852,Stephanie Howard,2024-07-27,93,Needs improvement
A01853,Danielle Bentley,2024-03-22,98,Average performance
A01854,Sharon Garcia,2024-07-20,83,Good technical skills
A01855,Karen King,2024-09-08,72,Excellent communication
A01856,Victoria Jackson,2024-11-29,99,Average performance
A01857,Joseph Evans,2024-04-15,100,Needs improvement
A01858,Jennifer Martin,2024-05-21,81,Needs improvement
A01859,Diana Schultz,2024-06-20,77,Excellent communication
A01860,Amanda Day,2024-07-18,55,Good technical skills
A01861,Amy Dickson,2024-11-07,68,Average performance
A01862,Christian Kelly,2024-09-27,68,Average performance
A01863,William Schwartz,2023-12-21,79,Excellent communication
A01864,Brittney Jenkins,2024-02-01,74,Needs improvement
A01865,Madison Kramer,2024-10-27,94,Needs improvement
A01866,Mary Jackson,2024-10-09,87,Good technical skills
A01867,Robert Peters,2024-12-05,58,Good technical skills
A01868,Gerald Durham,2023-12-16,77,Average performance
A01869,Jennifer Cooper,2024-08-15,87,Good technical skills
A01870,Henry Harris,2024-10-18,88,Needs improvement
A01871,Christopher Sanchez,2024-08-04,68,Good technical skills
A01872,Brandon Garcia,2024-05-17,69,Needs improvement
A01873,Andrea Mitchell,2024-03-10,78,Average performance
A01874,Ryan Rocha DDS,2024-01-07,100,Average performance
A01875,Traci Coleman DVM,2024-10-09,67,Needs improvement
A01876,Colin Bush,2024-03-09,89,Average performance
A01877,Steven Hunt,2024-03-12,52,Average performance
A01878,Maurice Pacheco,2024-09-06,81,Good technical skills
A01879,Ricardo Jordan,2024-02-02,100,Good technical skills
A01880,Connie Smith,2024-02-20,54,Good technical skills
